File,ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
wals-chapter-50,50A-bec,bec,Bengali (Chittagong),50A,Asymmetrical Case-Marking,Subtractive-quantitatively asymmetrical,"Ucida-1970[29-45, 52-53]",
wals-chapter-50,50A-tda,tda,Toda,50A,Asymmetrical Case-Marking,Symmetrical,Emeneau-1984[69-89],
wals-chapter-50,50A-frw,frw,Frisian (Western),50A,Asymmetrical Case-Marking,Additive-quantitatively asymmetrical,"Tiersma-1985[54-55, 61-65]",
wals-chapter-50,50A-ots,ots,Otomí (Sierra),50A,Asymmetrical Case-Marking,No case-marking,Voigtlander-and-Echegoyen-1985[passim],
wals-chapter-50,50A-mdr,mdr,Madurese,50A,Asymmetrical Case-Marking,No case-marking,Davies-1999[passim],
wals-chapter-50,50A-tts,tts,Tati (Southern),50A,Asymmetrical Case-Marking,Additive-quantitatively asymmetrical,"Yar-Shater-1969[73-78, 86-90, 96-106, 117-124, 147-162]",
wals-chapter-50,50A-rka,rka,Romani (Kalderash),50A,Asymmetrical Case-Marking,Symmetrical,"Boretzky-1994[31-47, 52-54, 100-111, 116-118]",
wals-chapter-50,50A-kly,kly,Kala Lagaw Ya,50A,Asymmetrical Case-Marking,Qualitatively asymmetrical,Bani-and-Klokeid-1972[73-89];Comrie-1981a[6-12],
wals-chapter-50,50A-arb,arb,Arabela,50A,Asymmetrical Case-Marking,Symmetrical,"Rich-1999[34-43, 45-47, 72-77, 81]",
wals-chapter-50,50A-ilo,ilo,Ilocano,50A,Asymmetrical Case-Marking,Additive-quantitatively asymmetrical,"Rubino-2000[XLI-XLV, LII-LIV]",
wals-chapter-50,50A-kls,kls,Kalispel,50A,Asymmetrical Case-Marking,Symmetrical,"Thomason-and-Everett-1993[319-323];Vogt-1940[27, 33-38, 66-70]",
wals-chapter-50,50A-kin,kin,Kinyarwanda,50A,Asymmetrical Case-Marking,No case-marking,Kimenyi-1980[173-174],
wals-chapter-50,50A-ale,ale,Aleut,50A,Asymmetrical Case-Marking,Subtractive-quantitatively asymmetrical,"Bergsland-1997[47-50, 54, 56-58, 67-82, 126-127, 130-133, 138-139, 149-161]",
wals-chapter-50,50A-fua,fua,Fula (Cameroonian),50A,Asymmetrical Case-Marking,No case-marking,"Arnott-1970[139-148, App. 3]",
wals-chapter-50,50A-ywl,ywl,Yawelmani,50A,Asymmetrical Case-Marking,Symmetrical,"Newman-1944[195-204, 211-214, 227-232]",
wals-chapter-50,50A-amu,amu,Yanesha',50A,Asymmetrical Case-Marking,Symmetrical,"Duff-Tripp-1997[47-48, 67]",
wals-chapter-50,50A-gim,gim,Gimira,50A,Asymmetrical Case-Marking,Additive-quantitatively asymmetrical,"Breeze-1990[11-14, 38, 40-42]",
wals-chapter-50,50A-cba,cba,Chumash (Barbareño),50A,Asymmetrical Case-Marking,No case-marking,Wash-2001[passim],
wals-chapter-50,50A-don,don,Dong,50A,Asymmetrical Case-Marking,No case-marking,Long-and-Zheng-1998[passim],
wals-chapter-50,50A-tvl,tvl,Tuvaluan,50A,Asymmetrical Case-Marking,No case-marking,"Besnier-2000[264-291, 311-323, 335-344, 374-379, 386-387, 395-405]",
wals-chapter-50,50A-urd,urd,Urdu,50A,Asymmetrical Case-Marking,Additive-quantitatively asymmetrical,"Schmidt-1999[7-12, 15-24, 27-28, 68-80]",
wals-chapter-50,50A-moe,moe,Mordvin (Erzya),50A,Asymmetrical Case-Marking,Symmetrical,Zaicz-1998[191-197],
wals-chapter-50,50A-hmi,hmi,Huitoto (Minica),50A,Asymmetrical Case-Marking,Symmetrical,Minor-et-al-1982[36-39],
wals-chapter-50,50A-udm,udm,Udmurt,50A,Asymmetrical Case-Marking,Symmetrical,"Winkler-2001[16-30, 33-36]",
wals-chapter-50,50A-kmb,kmb,Kombai,50A,Asymmetrical Case-Marking,No case-marking,de-Vries-1989[176-178],
wals-chapter-50,50A-hua,hua,Hua,50A,Asymmetrical Case-Marking,Subtractive-quantitatively asymmetrical,"Haiman-1980[215-216, 227-248, 271, 276-278]",
wals-chapter-50,50A-sno,sno,Saami (Northern),50A,Asymmetrical Case-Marking,Additive-quantitatively asymmetrical,"Nickel-1994[69-79, 83, 87-94, 96-98, 103-122]",
wals-chapter-50,50A-was,was,Washo,50A,Asymmetrical Case-Marking,Additive-quantitatively asymmetrical,"Jacobsen-1964[405-407, 441-445, 502-503, 666]",
wals-chapter-50,50A-udh,udh,Udihe,50A,Asymmetrical Case-Marking,Symmetrical,"Nikolaeva-and-Tolskaya-2001[106, 110-111, 118-127, 141-147]",
wals-chapter-50,50A-kos,kos,Kosraean,50A,Asymmetrical Case-Marking,No case-marking,"Lee-1975[60-62, 99-103, 136-145, 246-247, 249-250]",
wals-chapter-50,50A-snh,snh,Sinhala,50A,Asymmetrical Case-Marking,Symmetrical,"Gair-and-Paolillo-1997[17-21, 28, 31-33]",
wals-chapter-50,50A-ctl,ctl,Catalan,50A,Asymmetrical Case-Marking,Additive-quantitatively asymmetrical,Wheeler-et-al-1999[160-164],
wals-chapter-50,50A-est,est,Estonian,50A,Asymmetrical Case-Marking,Symmetrical,"Viitso-1998[127-129, 132-135]",
wals-chapter-50,50A-qaw,qaw,Qawasqar,50A,Asymmetrical Case-Marking,Symmetrical,"Clairis-1985[462-465, 477-479, 497-499]",
wals-chapter-50,50A-pae,pae,Páez,50A,Asymmetrical Case-Marking,Symmetrical,Jung-1989[178-202],
wals-chapter-50,50A-mlk,mlk,Malakmalak,50A,Asymmetrical Case-Marking,Additive-quantitatively asymmetrical,"Birk-1976[25-26, 30-31, 45, 106-117]",
wals-chapter-50,50A-scr,scr,Serbian-Croatian,50A,Asymmetrical Case-Marking,Syncretism in relevant NP-types,"Hamm-1981[71-79, 82-86];Browne-1993[318-327]",
wals-chapter-50,50A-tin,tin,Tinrin,50A,Asymmetrical Case-Marking,No case-marking,"Osumi-1995[38-41, 78-89, 144-148, 223-226]",
wals-chapter-50,50A-tna,tna,Turkana,50A,Asymmetrical Case-Marking,Subtractive-quantitatively asymmetrical,"Dimmendaal-1982[65-67, 215-217, 259-269]",
wals-chapter-50,50A-hve,hve,Huave (San Mateo del Mar),50A,Asymmetrical Case-Marking,Additive-quantitatively asymmetrical,"Stairs-Kreger-and-Scharfe-de-Stairs-1981[296-297, 340]",
wals-chapter-50,50A-kty,kty,Khanty,50A,Asymmetrical Case-Marking,Additive-quantitatively asymmetrical,"Nikolaeva-1999[13-16, 36-37]",
wals-chapter-50,50A-mym,mym,Malayalam,50A,Asymmetrical Case-Marking,Symmetrical,"Asher-and-Kumari-1997[120-123, 191-197, 258, 263-267]",
wals-chapter-50,50A-mok,mok,Mokilese,50A,Asymmetrical Case-Marking,No case-marking,Harrison-1976[passim],
wals-chapter-50,50A-pal,pal,Palauan,50A,Asymmetrical Case-Marking,No case-marking,"Josephs-1975[46-51, 79-85, 88-91, 94-97, 276-298]",
wals-chapter-50,50A-psh,psh,Pashto,50A,Asymmetrical Case-Marking,Additive-quantitatively asymmetrical,"Penzl-1955[47-61, 63-70, 72-79, 85-87, 89-92]",
wals-chapter-50,50A-sel,sel,Selknam,50A,Asymmetrical Case-Marking,Symmetrical,Najlis-1973[51-53],
wals-chapter-50,50A-win,win,Wintu,50A,Asymmetrical Case-Marking,Additive-quantitatively asymmetrical,"Pitkin-1984[215-220, 253-258]",
wals-chapter-50,50A-bri,bri,Bribri,50A,Asymmetrical Case-Marking,Additive-quantitatively asymmetrical,"Margery-Pena-1996[XXXIX-XLIII, LXXI-LXXVI]",
wals-chapter-50,50A-kon,kon,Kongo,50A,Asymmetrical Case-Marking,No case-marking,Bentley-1887[576-583],
wals-chapter-50,50A-wel,wel,Welsh,50A,Asymmetrical Case-Marking,No case-marking,"King-1993a[80-83, 90-93]",
wals-chapter-50,50A-iaa,iaa,Iaai,50A,Asymmetrical Case-Marking,No case-marking,"Ozanne-Rivierre-1976[133, 137-138, 148-154, 192-193, 197-199]",
wals-chapter-50,50A-mhi,mhi,Marathi,50A,Asymmetrical Case-Marking,Symmetrical,"Pandharipande-1997[273-285, 312, 375-376, 387-393]",
wals-chapter-50,50A-ice,ice,Icelandic,50A,Asymmetrical Case-Marking,Syncretism in relevant NP-types,"Kress-1982[56-92, 100-102, 104-113, 224-231]",
wals-chapter-50,50A-pan,pan,Panjabi,50A,Asymmetrical Case-Marking,Syncretism in relevant NP-types,"Bhatia-1993[164-168, 225-227, 229-234]",
wals-chapter-50,50A-lak,lak,Lak,50A,Asymmetrical Case-Marking,Symmetrical,"Murkelinskij-1967[492-498];Zhirkov-1955[35-44, 65-75]",
wals-chapter-50,50A-eka,eka,Ekari,50A,Asymmetrical Case-Marking,Additive-quantitatively asymmetrical,"Drabbe-1952[7-9, 12-15]",
wals-chapter-50,50A-ham,ham,Hamtai,50A,Asymmetrical Case-Marking,Syncretism in relevant NP-types,"Oates-and-Oates-1968[17, 19-20, 46-47, 59, 66-67, 70]",
wals-chapter-50,50A-mrd,mrd,Marind,50A,Asymmetrical Case-Marking,No case-marking,Drabbe-1955[135-141],
wals-chapter-50,50A-abi,abi,Abipón,50A,Asymmetrical Case-Marking,No case-marking,Najlis-1966[59-60],
wals-chapter-50,50A-mab,mab,Maba,50A,Asymmetrical Case-Marking,Symmetrical,"Tucker-and-Bryan-1966[199-202, 205];Trenga-1947[58, 62-65, 114-116, 130, 132-133]",
wals-chapter-50,50A-swe,swe,Swedish,50A,Asymmetrical Case-Marking,Additive-quantitatively asymmetrical,"Holmes-and-Hinchliffe-1994[42-47, 128-142, 148-159, 213-220]",
wals-chapter-50,50A-chv,chv,Chuvash,50A,Asymmetrical Case-Marking,Symmetrical,Clark-1998a[434-452],
wals-chapter-50,50A-dut,dut,Dutch,50A,Asymmetrical Case-Marking,Additive-quantitatively asymmetrical,"Donaldson-1997b[18-19, 46, 54-67]",
wals-chapter-50,50A-kas,kas,Kashmiri,50A,Asymmetrical Case-Marking,Subtractive-quantitatively asymmetrical,"Wali-and-Koul-1997[151-160, 163-166, 173, 196-207]",
wals-chapter-50,50A-una,una,Una,50A,Asymmetrical Case-Marking,Additive-quantitatively asymmetrical,Louwerse-1988[106-114],
